,sub,alpha,beta,threshold,likelihood,succ,msg
0,10,0.5998341724920031,13.126635965253394,0.2105797169385489,22.2632808742924,False,Maximum number of function evaluations has been exceeded.
0,11,0.500936275045325,8.201587923195323,0.18907030497367916,29.412792067622153,True,Optimization terminated successfully.
0,12,0.7309994955278416,5.777157298734084,0.16317773208492703,51.79555084415779,True,Optimization terminated successfully.
0,13,0.3693051119993288,4.495983520388819,0.16423185645543706,78.65109986830919,True,Optimization terminated successfully.
0,14,0.6795325198480786,5.0601505132936495,0.25459544148976343,73.23352071499843,True,Optimization terminated successfully.
0,15,0.17366012977167034,8.375884860952244,0.4442226802736152,93.08629467312187,True,Optimization terminated successfully.
0,16,0.3314367323783153,10.618138580447603,0.1765928906284015,14.794544912756871,True,Optimization terminated successfully.
0,18,0.3888645697811367,4.285467435251993,-0.4534191532897691,14.70907398304254,True,Optimization terminated successfully.
0,19,0.9870118256517961,100.0,-0.010976641659849618,23.83291286629972,True,Optimization terminated successfully.
0,20,0.5579366893198581,7.962106893872109,0.142565737731294,33.86687279706311,True,Optimization terminated successfully.
0,21,0.6413066167879844,7.291560720626329,-0.004926707998010605,26.32885903484768,True,Optimization terminated successfully.
0,22,0.8685081814661741,8.445253167099667,-0.147094783554994,23.161342015932387,True,Optimization terminated successfully.
0,23,0.5458790478991036,4.273845402568382,0.1389921059662362,79.82730579696523,True,Optimization terminated successfully.
0,24,0.3306676084458916,6.9959222100754115,0.42711142493335363,91.62273219912285,True,Optimization terminated successfully.
0,25,1.0,4.694352167124059,-0.16305623230070837,45.83294744517187,True,Optimization terminated successfully.
0,26,0.6683512038415788,9.112612667396103,0.06743865588985742,28.905530815884696,True,Optimization terminated successfully.
0,27,0.5593343958002481,7.383356258924936,0.0564007197754053,32.49579814312432,True,Optimization terminated successfully.
0,28,1.0,1.0677410736358024,1.0480830734031188,198.39406726366605,True,Optimization terminated successfully.
0,29,1.0,3.15512280524116,0.21239140200800224,105.05894691159446,True,Optimization terminated successfully.
0,30,0.1537341017552325,10.615705240490666,0.45637760481718836,74.97604931765403,True,Optimization terminated successfully.
0,31,0.714219688445321,9.352570245969915,0.10324494922984956,35.787044719951744,True,Optimization terminated successfully.
0,32,1.0,4.064207132096747,0.10601261215510666,72.12927377570853,True,Optimization terminated successfully.
0,33,0.1879460353950535,7.149285402876762,0.1821046420309168,48.55380254472794,True,Optimization terminated successfully.
0,34,0.579478566654624,12.993240478000468,0.274002523424016,31.143923541371983,True,Optimization terminated successfully.
0,36,0.3772666613637312,9.261158956469737,0.42991254520440164,64.9869512008676,True,Optimization terminated successfully.
0,37,0.17598409475914628,7.088165484482533,-0.051724392820444984,13.174090675007903,True,Optimization terminated successfully.
0,38,0.4937696674283648,8.123681230515768,0.24326910281982553,47.81539280229507,True,Optimization terminated successfully.
0,40,0.8864291468868222,4.2314210686030265,-0.15179539568437364,52.86058626944558,True,Optimization terminated successfully.
0,41,0.9167605338414504,9.182004328309882,-0.0245065384856303,45.47842354390948,True,Optimization terminated successfully.
0,42,0.9241357739901692,100.0,-0.011889600980650828,8.074549085659449,True,Optimization terminated successfully.
0,43,0.5795636890479009,6.033999762763176,0.41299813801698515,88.11172787467135,True,Optimization terminated successfully.
0,44,0.7055144978987038,5.578864107521007,0.23750576364828402,70.65668851524927,True,Optimization terminated successfully.
0,45,0.6893460530378998,6.336138754444831,0.025299758142828328,42.41246178257587,True,Optimization terminated successfully.
0,46,0.5093506088190829,6.842831696373779,0.33421426390017583,71.47275359824405,True,Optimization terminated successfully.
0,47,0.5093615192719749,6.842739758546582,0.33420428441871974,71.47275359616589,True,Optimization terminated successfully.
0,48,0.0355878981822539,40.83659201593241,0.7878893829576039,132.93064658032193,True,Optimization terminated successfully.
0,49,0.9506115756438032,100.0,0.011993308237515092,18.628322829087015,True,Optimization terminated successfully.
