,sub,alpha,beta,likelihood,succ,msg
0,10,0.596583586145548,10.870120425234688,24.920992360816413,True,Optimization terminated successfully.
0,11,0.6567801973234062,9.195830165949115,20.207208829638585,True,Optimization terminated successfully.
0,12,0.9305691280142803,3.7189854493391143,82.53081993475314,True,Optimization terminated successfully.
0,13,0.1209064167193041,5.412693312324752,70.80949760470477,True,Optimization terminated successfully.
0,14,0.7346830594995479,3.5776812765210675,86.10927101134205,True,Optimization terminated successfully.
0,15,0.4593495491071703,3.7610045554047122,104.12023534932099,True,Optimization terminated successfully.
0,16,0.27841598083623764,20.554649419604075,8.024894352506767,True,Optimization terminated successfully.
0,18,0.002864841340939615,100.0,20.572512177324796,True,Optimization terminated successfully.
0,19,0.002727947596614072,100.0,26.772316518111698,True,Optimization terminated successfully.
0,20,0.5585302643781955,7.549009632876653,33.8444467026097,True,Optimization terminated successfully.
0,21,0.9634451869542552,100.0,17.049114798465837,True,Optimization terminated successfully.
0,22,0.3750604388662975,17.064590315454666,13.95892660046105,True,Optimization terminated successfully.
0,23,0.5286690876584172,3.967794060681846,112.27242426752107,True,Optimization terminated successfully.
0,24,0.3482743889450196,5.110786416166278,85.49767792604905,True,Optimization terminated successfully.
0,25,1.0,71.22425596612665,44.361419519436495,True,Optimization terminated successfully.
0,26,0.35712531586026186,11.990667147251571,39.14747222291009,True,Optimization terminated successfully.
0,27,0.49168729996967364,14.432992269812031,21.44789108428684,True,Optimization terminated successfully.
0,28,0.883286548165745,0.6303545838201025,202.9096501140594,True,Optimization terminated successfully.
0,29,0.8959900489982005,2.1505530177308336,157.82507412828903,True,Optimization terminated successfully.
0,30,0.2999811064761749,5.8860637194059615,66.22439192162001,True,Optimization terminated successfully.
0,31,0.645272219837774,7.922700605734802,28.454154327683185,True,Optimization terminated successfully.
0,32,0.9923318023174854,3.38890255645103,80.50053694052232,True,Optimization terminated successfully.
0,33,0.17725845813474972,7.969832689374961,60.893457936865694,True,Optimization terminated successfully.
0,34,0.6931945311427357,7.419222167766726,42.63054340360006,True,Optimization terminated successfully.
0,36,0.6606730262151224,5.864943897092558,63.144403864737185,True,Optimization terminated successfully.
0,37,0.026298007678954245,100.0,5.192196761687586,True,Optimization terminated successfully.
0,38,0.6726025108278301,7.841685688280309,41.54219366774357,True,Optimization terminated successfully.
0,40,0.9435554379510587,4.256571990938598,67.26687147224592,True,Optimization terminated successfully.
0,41,0.8921635152123037,9.294438330079066,46.01573392674902,True,Optimization terminated successfully.
0,42,0.3673986300926405,21.08536388089169,7.845227591185877,True,Optimization terminated successfully.
0,43,0.3994444686565336,5.009976936096532,97.6145664493767,True,Optimization terminated successfully.
0,44,0.7234019362783188,4.85625021391429,80.37743019756701,True,Optimization terminated successfully.
0,45,0.7516328261299287,8.553606043010948,40.4754093890183,True,Optimization terminated successfully.
0,46,0.5456576033907246,5.649385293870322,65.77121420233297,True,Optimization terminated successfully.
0,47,0.5456484821028558,5.649146599609553,65.7712142078565,True,Optimization terminated successfully.
0,48,0.10309127586215125,5.3249921559585935,159.42813810734944,True,Optimization terminated successfully.
0,49,0.7243860593121809,13.227858869172778,26.291808540785695,True,Optimization terminated successfully.
